"","PROBEID","SYMBOL","ENTREZID","GENENAME"
"77","1552354_at","CBARP","255057","CACN subunit beta associated regulatory protein"
"78","1552355_s_at","CBARP","255057","CACN subunit beta associated regulatory protein"
"79","1552359_at","MCMDC2","157777","minichromosome maintenance domain containing 2"
"80","1552360_a_at","TIRAP","114609","TIR domain containing adaptor protein"
"81","1552362_a_at","LEAP2","116842","liver enriched antimicrobial peptide 2"
"82","1552364_s_at","MSI2","124540","musashi RNA binding protein 2"
"83","1552365_at","SCIN","85477","scinderin"
"84","1552367_a_at","SCIN","85477","scinderin"
"85","1552368_at","CTCFL","140690","CCCTC-binding factor like"
"86","1552370_at","C4orf33","132321","chromosome 4 open reading frame 33"
"87","1552372_at","C4orf33","132321","chromosome 4 open reading frame 33"
"88","1552373_s_at","C4orf33","132321","chromosome 4 open reading frame 33"
"89","1552375_at","ZNF333","84449","zinc finger protein 333"
"90","1552377_s_at","TVP23C","201158","trans-golgi network vesicle protein 23 homolog C"
"91","1552378_s_at","RDH10","157506","retinol dehydrogenase 10"
"92","1552379_at","RDH10","157506","retinol dehydrogenase 10"
"93","1552381_at","SRSF12","135295","serine and arginine rich splicing factor 12"
"94","1552383_at","GARIN4","149647","golgi associated RAB2 interactor family member 4"
"95","1552384_a_at","GARIN4","149647","golgi associated RAB2 interactor family member 4"
"96","1552386_at","GAPT","202309","GRB2 binding adaptor protein, transmembrane"
"97","1552388_at","SCUBE1","80274","signal peptide, CUB domain and EGF like domain containing 1"
"98","1552389_at","ERICH5","203111","glutamate rich 5"
"99","1552390_a_at","ERICH5","203111","glutamate rich 5"
"100","1552391_at","CCDC185","164127","coiled-coil domain containing 185"
"101","1552393_at","ENTHD1","150350","ENTH domain containing 1"
"102","1552394_a_at","ENTHD1","150350","ENTH domain containing 1"
"103","1552395_at","TSSK3","81629","testis specific serine kinase 3"
"104","1552396_at","WFDC6","140870","WAP four-disulfide core domain 6"
"105","1552398_a_at","CLEC12A","160364","C-type lectin domain family 12 member A"
"106","1552399_a_at","BRF1","2972","BRF1 RNA polymerase III transcription initiation factor subunit"
"107","1552400_a_at","TMEM266","123591","transmembrane protein 266"
"108","1552401_a_at","BACH1, GRIK1-AS2","571, 100379661","BTB domain and CNC homolog 1, GRIK1 antisense RNA 2"
"109","1552402_at","CALML6","163688","calmodulin like 6"
"110","1552405_at","NLRP5","126206","NLR family pyrin domain containing 5"
"111","1552408_at","ODF4","146852","outer dense fiber of sperm tails 4"
"112","1552409_a_at","ODF4","146852","outer dense fiber of sperm tails 4"
"113","1552410_at","CLEC4F","165530","C-type lectin domain family 4 member F"
"114","1552411_at","DEFB106A, DEFB106B","245909, 503841","defensin beta 106A, defensin beta 106B"
"115","1552412_a_at","DEFB106A, DEFB106B","245909, 503841","defensin beta 106A, defensin beta 106B"
"116","1552414_at","WFDC9","259240","WAP four-disulfide core domain 9"
"117","1552415_a_at","WFDC9","259240","WAP four-disulfide core domain 9"
"118","1552417_a_at","NEDD1","121441","NEDD1 gamma-tubulin ring complex targeting factor"
"119","1552418_at","TTLL10","254173","tubulin tyrosine ligase like 10"
"120","1552419_s_at","TTLL10","254173","tubulin tyrosine ligase like 10"
"121","1552421_a_at","CALR3","125972","calreticulin 3"
"122","1552422_at","ZNF22-AS1","220979","ZNF22 antisense RNA 1"
"123","1552423_at","ETV3","2117","ETS variant transcription factor 3"
"124","1552424_at","KLHL10","317719","kelch like family member 10"
"125","1552425_a_at","KLHL10","317719","kelch like family member 10"
"126","1552426_a_at","TM2D3","80213","TM2 domain containing 3"
"127","1552427_at","ZNF485","220992","zinc finger protein 485"
"128","1552430_at","WDR17","116966","WD repeat domain 17"
"129","1552432_at","MFSD6L","162387","major facilitator superfamily domain containing 6 like"
"130","1552436_a_at","CDH23","64072","cadherin related 23"
"131","1552438_a_at","ANKAR","150709","ankyrin and armadillo repeat containing"
"132","1552439_s_at","MEGF11","84465","multiple EGF like domains 11"
"133","1552440_at","GPR182","11318","G protein-coupled receptor 182"
"134","1552445_a_at","ESX1","80712","ESX homeobox 1"
"135","1552448_a_at","FAM167A-AS1","83656","FAM167A antisense RNA 1"
"136","1552449_a_at","SCGB1C1, SCGB1C2","147199, 653486","secretoglobin family 1C member 1, secretoglobin family 1C member 2"
"137","1552450_a_at","DNAJC5G","285126","DnaJ heat shock protein family (Hsp40) member C5 gamma"
"138","1552452_at","WDR88","126248","WD repeat domain 88"
"139","1552453_a_at","WDR88","126248","WD repeat domain 88"
"140","1552455_at","PRUNE2","158471","prune homolog 2 with BCH domain"
"141","1552456_a_at","MBD3L2","125997","methyl-CpG binding domain protein 3 like 2"
"142","1552457_a_at","ADAMTSL1","92949","ADAMTS like 1"
"143","1552458_at","MBD3L1","85509","methyl-CpG binding domain protein 3 like 1"
"144","1552459_a_at","MBD3L1","85509","methyl-CpG binding domain protein 3 like 1"
"145","1552461_at","TENT5D","169966","terminal nucleotidyltransferase 5D"
"146","1552463_at","SERPINB11","89778","serpin family B member 11"
"147","1552466_x_at","LINC00161","118421","long intergenic non-protein coding RNA 161"
"148","1552467_at","DSCR10","259234","Down syndrome critical region 10"
"149","1552468_a_at","DSCR10","259234","Down syndrome critical region 10"
"150","1552470_a_at","ABHD11","83451","abhydrolase domain containing 11"
"151","1552472_a_at","ACAP2","23527","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
"152","1552473_at","GAMT","2593","guanidinoacetate N-methyltransferase"
"153","1552474_a_at","GAMT","2593","guanidinoacetate N-methyltransferase"
"154","1552476_s_at","PLCD3","113026","phospholipase C delta 3"
"155","1552477_a_at","IRF6","3664","interferon regulatory factor 6"
"156","1552478_a_at","IRF6","3664","interferon regulatory factor 6"
"157","1552480_s_at","PTPRC","5788","protein tyrosine phosphatase receptor type C"
"158","1552481_s_at","MAN1A2","10905","mannosidase alpha class 1A member 2"
"159","1552482_at","RAPH1","65059","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1"
"160","1552484_at","SMCR8","140775","SMCR8-C9orf72 complex subunit"
"161","1552485_at","LACTB","114294","lactamase beta"
"162","1552486_s_at","LACTB","114294","lactamase beta"
"163","1552487_a_at","BNC1","646","basonuclin 1"
"164","1552489_s_at","MPP4","58538","MAGUK p55 scaffold protein 4"
"165","1552490_at","AFG1L","246269","AFG1 like ATPase"
"166","1552491_at","IDI2","91734","isopentenyl-diphosphate delta isomerase 2"
"167","1552493_s_at","CYP11B1","1584","cytochrome P450 family 11 subfamily B member 1"
"168","1552494_at","TAF8","129685","TATA-box binding protein associated factor 8"
"169","1552496_a_at","COBL","23242","cordon-bleu WH2 repeat protein"
"170","1552497_a_at","SLAMF6","114836","SLAM family member 6"
"171","1552498_at","ZSCAN20","7579","zinc finger and SCAN domain containing 20"
"172","1552499_a_at","ZSCAN20","7579","zinc finger and SCAN domain containing 20"
"173","1552501_a_at","GPBAR1","151306","G protein-coupled bile acid receptor 1"
"174","1552502_s_at","RHBDL2","54933","rhomboid like 2"
"175","1552503_at","FRAS1","80144","Fraser extracellular matrix complex subunit 1"
"176","1552504_a_at","BRSK1","84446","BR serine/threonine kinase 1"
"177","1552506_at","CRB2","286204","crumbs cell polarity complex component 2"
"178","1552507_at","KCNE4","23704","potassium voltage-gated channel subfamily E regulatory subunit 4"
"179","1552508_at","KCNE4","23704","potassium voltage-gated channel subfamily E regulatory subunit 4"
"180","1552509_a_at","CD300LG","146894","CD300 molecule like family member g"
"181","1552510_at","SLC34A3","142680","solute carrier family 34 member 3"
"182","1552511_a_at","CPA6","57094","carboxypeptidase A6"
"183","1552514_at","WBP2NL","164684","WBP2 N-terminal like"
"184","1552515_at","HIPK1","204851","homeodomain interacting protein kinase 1"
"185","1552516_a_at","HIPK1","204851","homeodomain interacting protein kinase 1"
"186","1552518_s_at","MTBP","27085","MDM2 binding protein"
"187","1552519_at","ACVR1C","130399","activin A receptor type 1C"
"188","1552520_at","TMEM74","157753","transmembrane protein 74"
"189","1552521_a_at","TMEM74","157753","transmembrane protein 74"
"190","1552522_at","TIGD4","201798","tigger transposable element derived 4"
"191","1552523_a_at","TIGD4","201798","tigger transposable element derived 4"
"192","1552524_at","ART5","116969","ADP-ribosyltransferase 5"
"193","1552526_at","GARIN6","196472","golgi associated RAB2 interactor family member 6"
"194","1552528_at","LINC01547","84536","long intergenic non-protein coding RNA 1547"
"195","1552531_a_at","NLRP11","204801","NLR family pyrin domain containing 11"
"196","1552532_a_at","ATP6V1C2","245973","ATPase H+ transporting V1 subunit C2"
"197","1552535_at","CLDN19","149461","claudin 19"
"198","1552536_at","VTI1A","143187","vesicle transport through interaction with t-SNAREs 1A"
"199","1552538_a_at","KIF6","221458","kinesin family member 6"
"200","1552540_s_at","IQCD","115811","IQ motif containing D"
"201","1552541_at","TAGAP","117289","T cell activation RhoGTPase activating protein"
"202","1552542_s_at","TAGAP","117289","T cell activation RhoGTPase activating protein"
"203","1552543_a_at","STON2","85439","stonin 2"
"204","1552544_at","SERPINA12","145264","serpin family A member 12"
"205","1552546_a_at","LETM2","137994","leucine zipper and EF-hand containing transmembrane protein 2"
"206","1552548_at","BSND","7809","barttin CLCNK type accessory subunit beta"
"207","1552549_a_at","BSND","7809","barttin CLCNK type accessory subunit beta"
"208","1552552_s_at","CLEC4C","170482","C-type lectin domain family 4 member C"
"209","1552553_a_at","NLRC4","58484","NLR family CARD domain containing 4"
"210","1552554_a_at","NLRC4","58484","NLR family CARD domain containing 4"
"211","1552555_at","PRSS36","146547","serine protease 36"
"212","1552557_a_at","ZDHHC15","158866","zinc finger DHHC-type palmitoyltransferase 15"
"213","1552558_a_at","RAI1","10743","retinoic acid induced 1"
"214","1552559_a_at","CDK15","65061","cyclin dependent kinase 15"
"215","1552562_at","ZNF570","148268","zinc finger protein 570"
"216","1552563_a_at","NA","NA","NA"
"217","1552564_at","NUDT9P1","119369","nudix hydrolase 9 pseudogene 1"
"218","1552566_at","BTBD16","118663","BTB domain containing 16"
"219","1552568_at","RTP3","83597","receptor transporter protein 3"
"220","1552569_a_at","RTP3","83597","receptor transporter protein 3"
"221","1552570_at","TSPEAR","54084","thrombospondin type laminin G domain and EAR repeats"
"222","1552572_a_at","MIPOL1","145282","mirror-image polydactyly 1"
"223","1552573_s_at","MIPOL1","145282","mirror-image polydactyly 1"
"224","1552575_a_at","C6orf141","135398","chromosome 6 open reading frame 141"
"225","1552576_at","ALMS1P1","200420","ALMS1 pseudogene 1"
"226","1552578_a_at","MYO3B","140469","myosin IIIB"
"227","1552579_a_at","ADAM21","8747","ADAM metallopeptidase domain 21"
"228","1552580_at","TRIML2","205860","tripartite motif family like 2"
"229","1552582_at","ABCC13","150000","ATP binding cassette subfamily C member 13 (pseudogene)"
"230","1552583_s_at","ABCC13","150000","ATP binding cassette subfamily C member 13 (pseudogene)"
"231","1552584_at","IL12RB1","3594","interleukin 12 receptor subunit beta 1"
"232","1552585_s_at","GTF2A1L","11036","general transcription factor IIA subunit 1 like"
"233","1552586_at","TRPV3","162514","transient receptor potential cation channel subfamily V member 3"
"234","1552587_at","CNBD1","168975","cyclic nucleotide binding domain containing 1"
"235","1552588_a_at","CNBD1","168975","cyclic nucleotide binding domain containing 1"
"236","1552590_a_at","ABCC12","94160","ATP binding cassette subfamily C member 12"
"237","1552592_at","MMP21","118856","matrix metallopeptidase 21"
"238","1552594_at","TMEM190","147744","transmembrane protein 190"
"239","1552596_at","GAS2L2","246176","growth arrest specific 2 like 2"
"240","1552598_at","KCNG4","93107","potassium voltage-gated channel modifier subfamily G member 4"
"241","1552599_at","PXT1","222659","peroxisomal testis enriched protein 1"
"242","1552602_at","CACNG5","27091","calcium voltage-gated channel auxiliary subunit gamma 5"
"243","1552604_at","LINC00308","54143","long intergenic non-protein coding RNA 308"
"244","1552605_s_at","LINC00308","54143","long intergenic non-protein coding RNA 308"
"245","1552607_at","FAM223B, FAM223A","286967, 100132967","family with sequence similarity 223 member B, family with sequence similarity 223 member A"
"246","1552608_at","WFDC11","259239","WAP four-disulfide core domain 11"
"247","1552609_s_at","IFNL3, IFNL2","282617, 282616","interferon lambda 3, interferon lambda 2"
"248","1552610_a_at","JAK1","3716","Janus kinase 1"
"249","1552611_a_at","JAK1","3716","Janus kinase 1"
"250","1552612_at","CDC42SE2","56990","CDC42 small effector 2"
"251","1552613_s_at","CDC42SE2","56990","CDC42 small effector 2"
"252","1552615_at","ACACB","32","acetyl-CoA carboxylase beta"
"253","1552616_a_at","ACACB","32","acetyl-CoA carboxylase beta"
"254","1552617_a_at","COP1","64326","COP1 E3 ubiquitin ligase"
"255","1552618_at","STX6","10228","syntaxin 6"
"256","1552619_a_at","ANLN","54443","anillin, actin binding protein"
"257","1552620_at","SPRR4","163778","small proline rich protein 4"
"258","1552621_at","POLR2J2, POLR2J3","246721, 548644","RNA polymerase II subunit J2, RNA polymerase II subunit J3"
"259","1552622_s_at","PMS2P5, POLR2J2, PMS2P13, POLR2J3","5383, 246721, 441259, 548644","PMS1 homolog 2, mismatch repair system component pseudogene 5, RNA polymerase II subunit J2, PMS1 homolog 2, mismatch repair system component pseudogene 13, RNA polymerase II subunit J3"
"260","1552623_at","HSH2D","84941","hematopoietic SH2 domain containing"
"261","1552625_a_at","TRNT1","51095","tRNA nucleotidyl transferase 1"
"262","1552626_a_at","TMEM163","81615","transmembrane protein 163"
"263","1552627_a_at","ARHGAP5","394","Rho GTPase activating protein 5"
"264","1552628_a_at","HERPUD2","64224","HERPUD family member 2"
"265","1552629_a_at","JMJD6","23210","jumonji domain containing 6, arginine demethylase and lysine hydroxylase"
"266","1552630_a_at","SRCAP","10847","Snf2 related CREBBP activator protein"
"267","1552631_a_at","MAP3K6","9064","mitogen-activated protein kinase kinase kinase 6"
"268","1552632_a_at","ARSG","22901","arylsulfatase G"
"269","1552633_at","ZNF101","94039","zinc finger protein 101"
"270","1552634_a_at","ZNF101","94039","zinc finger protein 101"
"271","1552637_at","PTPN11","5781","protein tyrosine phosphatase non-receptor type 11"
"272","1552639_at","KLHDC7B","113730","kelch domain containing 7B"
"273","1552641_s_at","ATAD3B, ATAD3A","83858, 55210","ATPase family AAA domain containing 3B, ATPase family AAA domain containing 3A"
"274","1552643_at","ZNF626","199777","zinc finger protein 626"
"275","1552644_a_at","PHC3","80012","polyhomeotic homolog 3"
"276","1552646_at","IL11RA","3590","interleukin 11 receptor subunit alpha"
"277","1552648_a_at","TNFRSF10A","8797","TNF receptor superfamily member 10a"
"278","1552649_a_at","RFFL, RAD51L3-RFFL","117584, 100529207","ring finger and FYVE like domain containing E3 ubiquitin protein ligase, RAD51L3-RFFL readthrough"
"279","1552651_a_at","RFFL, RAD51L3-RFFL","117584, 100529207","ring finger and FYVE like domain containing E3 ubiquitin protein ligase, RAD51L3-RFFL readthrough"
"280","1552652_at","HPS4","89781","HPS4 biogenesis of lysosomal organelles complex 3 subunit 2"
"281","1552656_s_at","UHMK1","127933","U2AF homology motif kinase 1"
"282","1552657_a_at","TXNDC2","84203","thioredoxin domain containing 2"
"283","1552658_a_at","NAV3","89795","neuron navigator 3"
"284","1552660_a_at","C5orf22","55322","chromosome 5 open reading frame 22"
"285","1552661_at","PCDHGB7","56099","protocadherin gamma subfamily B, 7"
"286","1552662_a_at","PCDHGB7","56099","protocadherin gamma subfamily B, 7"
"287","1552663_a_at","ERC1","23085","ELKS/RAB6-interacting/CAST family member 1"
"288","1552664_at","FLCN","201163","folliculin"
"289","1552665_at","JMJD1C-AS1","84989","JMJD1C antisense RNA 1"
"290","1552666_a_at","LRRC7","57554","leucine rich repeat containing 7"
"291","1552667_a_at","SH2D3C","10044","SH2 domain containing 3C"
"292","1552669_at","PPP1R3B","79660","protein phosphatase 1 regulatory subunit 3B"
"293","1552670_a_at","PPP1R3B","79660","protein phosphatase 1 regulatory subunit 3B"
"294","1552671_a_at","SLC9A7","84679","solute carrier family 9 member A7"
"295","1552672_a_at","IGSF3","3321","immunoglobulin superfamily member 3"
"296","1552673_at","RFX6","222546","regulatory factor X6"
"297","1552674_at","DIRC1","116093","disrupted in renal carcinoma 1"
"298","1552675_at","DNAJB7","150353","DnaJ heat shock protein family (Hsp40) member B7"
"299","1552676_at","UCN3","114131","urocortin 3"
"300","1552677_a_at","DIP2A","23181","disco interacting protein 2 homolog A"
"301","1552678_a_at","USP28","57646","ubiquitin specific peptidase 28"
"302","1552680_a_at","KNL1","57082","kinetochore scaffold 1"
"303","1552682_a_at","KNL1","57082","kinetochore scaffold 1"
"304","1552684_a_at","SENP8","123228","SUMO peptidase family member, NEDD8 specific"
"305","1552685_a_at","GRHL1","29841","grainyhead like transcription factor 1"
"306","1552686_at","CNBD2","140894","cyclic nucleotide binding domain containing 2"
"307","1552687_a_at","CNBD2","140894","cyclic nucleotide binding domain containing 2"
"308","1552689_at","CASKIN1","57524","CASK interacting protein 1"
"309","1552690_a_at","CACNA2D4","93589","calcium voltage-gated channel auxiliary subunit alpha2delta 4"
"310","1552691_at","ARL11","115761","ADP ribosylation factor like GTPase 11"
"311","1552693_at","ARL11","115761","ADP ribosylation factor like GTPase 11"
"312","1552694_at","SLC2A13","114134","solute carrier family 2 member 13"
"313","1552695_a_at","SLC2A13","114134","solute carrier family 2 member 13"
"314","1552696_at","NIPA1","123606","NIPA magnesium transporter 1"
"315","1552698_at","TUBA3FP","113691","tubulin alpha 3f pseudogene"
"316","1552701_a_at","CARD16","114769","caspase recruitment domain family member 16"
"317","1552703_s_at","CARD16, CASP1","114769, 834","caspase recruitment domain family member 16, caspase 1"
"318","1552705_at","DUSP19","142679","dual specificity phosphatase 19"
"319","1552708_a_at","DUSP19","142679","dual specificity phosphatase 19"
"320","1552711_a_at","CYB5D1","124637","cytochrome b5 domain containing 1"
"321","1552712_a_at","NMNAT2","23057","nicotinamide nucleotide adenylyltransferase 2"
"322","1552713_a_at","SLC4A1","6521","solute carrier family 4 member 1 (Diego blood group)"
"323","1552714_at","CREG2","200407","cellular repressor of E1A stimulated genes 2"
"324","1552715_a_at","RXFP1","59350","relaxin family peptide receptor 1"
"325","1552716_at","SPEF2","79925","sperm flagellar 2"
"326","1552717_s_at","CEP170P1, CEP170","645455, 9859","centrosomal protein 170 pseudogene 1, centrosomal protein 170"
"327","1552718_at","DTD1","92675","D-aminoacyl-tRNA deacylase 1"
"328","1552719_at","GOLM2","113201","golgi membrane protein 2"
"329","1552721_a_at","FGF1","2246","fibroblast growth factor 1"
"330","1552722_at","ARPP21","10777","cAMP regulated phosphoprotein 21"
"331","1552724_at","RHOXF1","158800","Rhox homeobox family member 1"
"332","1552725_s_at","ADAMTS17","170691","ADAM metallopeptidase with thrombospondin type 1 motif 17"
"333","1552726_at","ADAMTS17","170691","ADAM metallopeptidase with thrombospondin type 1 motif 17"
"334","1552727_s_at","ADAMTS17","170691","ADAM metallopeptidase with thrombospondin type 1 motif 17"
"335","1552729_at","SNHG7","84973","small nucleolar RNA host gene 7"
"336","1552730_at","DHH","50846","desert hedgehog signaling molecule"
"337","1552731_at","ABRA","137735","actin binding Rho activating protein"
"338","1552732_at","ABRA","137735","actin binding Rho activating protein"
"339","1552733_at","KLHDC1","122773","kelch domain containing 1"
"340","1552734_at","RICTOR","253260","RPTOR independent companion of MTOR complex 2"
"341","1552735_at","PCDHGA4","56111","protocadherin gamma subfamily A, 4"
"342","1552736_a_at","NETO1","81832","neuropilin and tolloid like 1"
"343","1552737_s_at","WWP2","11060","WW domain containing E3 ubiquitin protein ligase 2"
"344","1552738_a_at","ST7L","54879","suppression of tumorigenicity 7 like"
"345","1552739_s_at","ST7L","54879","suppression of tumorigenicity 7 like"
"346","1552740_at","C2orf15","150590","chromosome 2 open reading frame 15"
"347","1552742_at","KCNH8","131096","potassium voltage-gated channel subfamily H member 8"
"348","1552743_at","MCF2L","23263","MCF.2 cell line derived transforming sequence like"
"349","1552745_at","SLCO6A1","133482","solute carrier organic anion transporter family member 6A1"
"350","1552747_a_at","PP2D1","151649","protein phosphatase 2C like domain containing 1"
"351","1552749_a_at","KLC3","147700","kinesin light chain 3"
"352","1552750_at","CIB3","117286","calcium and integrin binding family member 3"
"353","1552751_a_at","CIB3","117286","calcium and integrin binding family member 3"
"354","1552752_a_at","CADM2","253559","cell adhesion molecule 2"
"355","1552754_a_at","CADM2","253559","cell adhesion molecule 2"
"356","1552755_at","DOCK8-AS1","157983","DOCK8 antisense RNA 1"
"357","1552757_s_at","DOCK8-AS1","157983","DOCK8 antisense RNA 1"
"358","1552758_at","HDAC9","9734","histone deacetylase 9"
"359","1552760_at","HDAC9","9734","histone deacetylase 9"
"360","1552761_at","SLC16A11","162515","solute carrier family 16 member 11"
"361","1552763_at","TMEM67","91147","transmembrane protein 67"
"362","1552765_x_at","TMEM67","91147","transmembrane protein 67"
"363","1552766_at","HS6ST2","90161","heparan sulfate 6-O-sulfotransferase 2"
"364","1552767_a_at","HS6ST2","90161","heparan sulfate 6-O-sulfotransferase 2"
"365","1552768_at","CAMKK1","84254","calcium/calmodulin dependent protein kinase kinase 1"
"366","1552769_at","ZNF625","90589","zinc finger protein 625"
"367","1552770_s_at","ZNF563","147837","zinc finger protein 563"
"368","1552771_a_at","LIN9","286826","lin-9 DREAM MuvB core complex component"
"369","1552772_at","CLEC4D","338339","C-type lectin domain family 4 member D"
"370","1552773_at","CLEC4D","338339","C-type lectin domain family 4 member D"
"371","1552774_a_at","SLC25A27","9481","solute carrier family 25 member 27"
"372","1552775_at","GPRC6A","222545","G protein-coupled receptor class C group 6 member A"
"373","1552777_a_at","RAET1E","135250","retinoic acid early transcript 1E"
"374","1552779_a_at","SLC44A5","204962","solute carrier family 44 member 5"
"375","1552782_at","SLC44A5","204962","solute carrier family 44 member 5"
"376","1552783_at","ZNF417","147687","zinc finger protein 417"
"377","1552785_at","ZNF781","163115","zinc finger protein 781"
"378","1552787_at","HELB","92797","DNA helicase B"
"379","1552788_a_at","HELB","92797","DNA helicase B"
"380","1552789_at","SEC62","7095","SEC62 homolog, preprotein translocation factor"
"381","1552790_a_at","SEC62","7095","SEC62 homolog, preprotein translocation factor"
"382","1552791_a_at","TRDN","10345","triadin"
"383","1552792_at","SOCS4","122809","suppressor of cytokine signaling 4"
"384","1552793_at","LINC02904","286122","long intergenic non-protein coding RNA 2904"
"385","1552794_a_at","ZNF547","284306","zinc finger protein 547"
"386","1552796_a_at","SIM1","6492","SIM bHLH transcription factor 1"
"387","1552797_s_at","PROM2","150696","prominin 2"
"388","1552798_a_at","TLR4","7099","toll like receptor 4"
"389","1552799_at","TSNARE1","203062","t-SNARE domain containing 1"
